category,issue_examples,to,cc1,cc2,cc3,entities_required
school_infrastructure,classroom damaged;roof leaking;school building unsafe;toilet unavailable;girls toilet unavailable;drinking water unavailable;compound wall damaged;playground not maintained;desks insufficient;benches broken;electricity unavailable;fans not working;lights not working;laboratory unavailable;library unavailable;smart classroom not functioning;internet unavailable;ramp unavailable;disabled access missing;kitchen damaged;midday meal kitchen unsafe;school bus facility unavailable;school gate damaged;boundary wall missing;school flooded;unsafe staircase;classroom overcrowded;building repair pending;new classroom requested;school renovation delayed,Headmaster,Block Educational Officer,Chief Educational Officer,District Collector,school_name;village;taluk
noon_meal_scheme,poor quality noon meal;insufficient quantity;spoiled food;worms in food;food poisoning;menu not followed;egg not supplied;banana not supplied;milk not supplied;cook absent;kitchen unhygienic;plates not cleaned;students denied meal;meal served late;rice of poor quality;vegetables not supplied;cooking gas unavailable;midday meal funds misused;attendance manipulation;meal contractor complaint;food stock shortage;water unavailable for cooking;children falling sick;meal discrimination;meal not served regularly;government norms violated;complaint ignored;school not maintaining records;nutrition standards not followed;inspection requested,Headmaster,Block Educational Officer,Chief Educational Officer,District Collector,school_name;village;taluk
anganwadi_service,anganwadi closed;anganwadi worker absent;helper absent;nutrition not supplied;take-home ration not supplied;pregnant women nutrition denied;children nutrition delayed;preschool education poor;building damaged;toilet unavailable;drinking water unavailable;growth monitoring not conducted;vaccination support unavailable;anganwadi timing violation;beneficiary omitted;register not maintained;malnutrition complaint;food quality poor;cooking hygiene poor;building unsafe;play materials unavailable;children denied admission;ICDS benefits delayed;worker misconduct;center shifted without notice;nutrition stock shortage;health check-up not conducted;complaint ignored;new anganwadi requested;inspection requested,Child Development Project Officer,District Programme Officer (ICDS),District Collector,Director of Social Welfare,centre_name;village;taluk
scholarship_delay,scholarship not credited;post-matric scholarship pending;pre-matric scholarship pending;SC scholarship delayed;ST scholarship delayed;BC scholarship delayed;MBC scholarship delayed;minority scholarship delayed;college scholarship pending;school scholarship pending;application verified but payment not made;bank account mismatch;Aadhaar mismatch;NPCI mapping issue;income certificate issue;community certificate issue;renewal scholarship delayed;fresh scholarship delayed;portal error;documents verified but status pending;duplicate application;scholarship rejected wrongly;appeal pending;institution not verifying application;student unable to continue studies;fee reimbursement delayed;hostel scholarship delayed;merit scholarship delayed;central scholarship pending;state scholarship pending,District Educational Officer,Chief Educational Officer,Director of School Education,District Collector,application_number;student_name;institution_name
college_certificate,degree certificate delayed;provisional certificate delayed;consolidated marksheet delayed;semester marksheet not issued;transfer certificate delayed;migration certificate delayed;conduct certificate delayed;bonafide certificate delayed;duplicate certificate request;name correction in certificate;DOB correction;university not issuing certificate;college withholding certificates;certificate lost;certificate damaged;digital certificate unavailable;verification pending;certificate needed for job;certificate needed for higher studies;certificate dispatch delayed;convocation certificate pending;revaluation result pending;course completion certificate delayed;NOC pending;transcript delayed;student records mismatch;college closed;certificate printing error;certificate not signed;urgent certificate request,Principal,Registrar,Controller of Examinations,Vice-Chancellor,institution_name;course_name;year_of_passing
bus_service,bus not operating;bus frequency low;bus overcrowded;bus skipped stop;bus not stopping;route not available;last bus too early;first bus too late;bus breakdown frequently;poor bus timing;school bus timing issue;college bus issue;women safety in bus;conductor misbehaviour;driver rash driving;ticket not issued;bus pass not accepted;bus route cancellation;new bus route request;additional buses required;rural bus shortage;city bus delay;night bus unavailable;weekend service unavailable;bus not accessible for disabled;bus cleanliness poor;AC bus not functioning;bus shelter unavailable;complaint ignored by depot;transport service improvement requested,Branch Manager (TNSTC/MTC Depot),General Manager (Region),Managing Director (TNSTC/MTC),District Collector,bus_route;from_place;to_place
bus_stop_request,new bus stop request;bus not stopping at village;relocate bus stop;bus shelter required;unsafe bus stop;school students need bus stop;hospital bus stop request;industrial area bus stop;college bus stop;old bus stop removed;temporary bus stop needed;bus stop too far;senior citizens affected;disabled passengers affected;bus stop board missing;bus stop without lighting;bus stop without seating;bus stop not notified;MTC bus not stopping;TNSTC bus not stopping;express bus stop request;town bus stop request;rural bus stop request;public representation for bus stop;bus stop near railway station;bus stop near temple;bus stop near market;bus stop causing traffic;unsafe pedestrian crossing near stop;bus stop approval pending,Branch Manager (TNSTC/MTC Depot),General Manager (Region),Managing Director (TNSTC/MTC),District Collector,village;taluk;street_name
driving_licence_delay,driving licence pending;DL not issued;learner licence pending;smart card licence delayed;licence renewal delayed;duplicate licence delayed;international driving permit pending;address change pending;name correction pending;DOB correction pending;biometric verification pending;driving test completed but licence not issued;slot unavailable;application under scrutiny;medical certificate issue;licence dispatched but not received;licence printing delay;licence lost;licence damaged;licence suspended wrongly;online application pending;Sarathi portal issue;driving test reschedule;endorsement pending;transport licence delayed;badge issue;licence rejected wrongly;appeal against rejection;urgent licence for employment;licence verification pending,Regional Transport Officer,Joint Transport Commissioner (Region),Transport Commissioner,District Collector,application_number;rto_office
vehicle_registration_delay,RC not issued;vehicle registration pending;temporary registration expired;permanent registration delayed;smart RC delayed;hypothecation update pending;hypothecation removal pending;owner name transfer pending;address change pending;duplicate RC pending;fitness certificate linked issue;road tax updated but RC pending;dealer submitted papers but RC not issued;registration rejected;vehicle inspection pending;engine number mismatch;chassis number mismatch;BH registration issue;fancy number allotment delay;NOC pending;vehicle registration after inheritance;registration after court order;registration certificate lost;RC correction pending;online Vahan issue;vehicle transfer pending;commercial vehicle registration delayed;registration fee paid but RC not issued;appeal against rejection;urgent RC required,Regional Transport Officer,Joint Transport Commissioner (Region),Transport Commissioner,District Collector,application_number;rto_office;vehicle_number
birth_certificate_delay,birth certificate not issued;birth registration pending;hospital not uploaded birth details;municipality not issuing certificate;corporation delay;late registration pending;birth certificate urgently required;birth record missing;application pending;online certificate unavailable;certificate not digitally signed;birth certificate for passport delayed;birth certificate for school admission;verification pending;hospital record mismatch;child name not entered;certificate printing delayed;duplicate certificate pending;appeal against delay;newborn registration not completed;manual record not digitized;status not updated;birth entry missing;certificate dispatch delayed;delay after payment;certificate rejected wrongly;village birth registration pending;urban birth registration pending;certificate not traceable;urgent birth proof required,Registrar of Births and Deaths,Health Officer / Municipal Commissioner,District Registrar of Births & Deaths,District Collector,person_name;event_date;place_of_event
birth_certificate_correction,name correction in birth certificate;DOB correction;father name correction;mother name correction;gender correction;place of birth correction;hospital name correction;spelling mistake;duplicate birth entry;birth registered twice;birth record mismatch;wrong child details;late name inclusion;religion correction;address correction;certificate correction after court order;certificate damaged;certificate lost;digital record mismatch;manual record correction;supporting documents submitted;application pending;application rejected;appeal against rejection;certificate verification pending;QR code error;birth ID mismatch;incorrect registration number;certificate not updated online;correction request delayed,Registrar of Births and Deaths,Health Officer / Municipal Commissioner,District Registrar of Births & Deaths,District Collector,person_name;event_date;registration_number
death_certificate_delay,death certificate not issued;death registration pending;hospital not reporting death;certificate delayed;certificate urgently required;death certificate for pension;death certificate for insurance;death certificate for legal heir;death record missing;application pending;online certificate unavailable;certificate printing delayed;duplicate certificate pending;verification pending;manual record not digitized;certificate dispatch delayed;certificate not traceable;late registration pending;urban death registration delayed;rural death registration delayed;status not updated;delay after payment;certificate rejected wrongly;hospital records mismatch;burial record mismatch;cremation record mismatch;urgent death proof required;appeal against delay;death entry missing;certificate not digitally signed,Registrar of Births and Deaths,Health Officer / Municipal Commissioner,District Registrar of Births & Deaths,District Collector,person_name;event_date;place_of_event
death_certificate_correction,name correction in death certificate;date of death correction;place of death correction;age correction;gender correction;father name correction;spouse name correction;address correction;cause of death correction;hospital name correction;duplicate death entry;wrong registration number;certificate damaged;certificate lost;manual record correction;digital record mismatch;application pending;application rejected;appeal against rejection;certificate verification pending;QR code error;certificate not updated online;wrong deceased person entered;supporting documents submitted;court order correction;late correction request;record mismatch;certificate printing error;certificate not downloadable;death register correction,Registrar of Births and Deaths,Health Officer / Municipal Commissioner,District Registrar of Births & Deaths,District Collector,person_name;event_date;registration_number
marriage_registration,marriage registration pending;marriage certificate not issued;Hindu marriage registration;Special Marriage Act registration;Christian marriage registration;Muslim marriage registration;inter-caste marriage registration;inter-religion marriage registration;late marriage registration;certificate delayed;certificate correction;spouse name correction;DOB correction;address correction;witness issue;application rejected;online application pending;certificate not downloadable;duplicate marriage certificate;certificate lost;certificate damaged;verification pending;marriage registrar absent;appointment unavailable;marriage registration after court order;foreign marriage registration;NRI marriage registration;urgent certificate required;marriage registration appeal;certificate printing delay,Sub-Registrar,District Registrar,Deputy Inspector General of Registration,Inspector General of Registration,husband_name;wife_name;marriage_date;registration_office
document_registration_delay,sale deed registration pending;settlement deed registration pending;gift deed registration pending;partition deed registration pending;release deed registration pending;power of attorney registration pending;lease deed registration pending;mortgage deed registration pending;document kept pending;token issued but registration delayed;biometric issue;thumb impression failure;server issue;slot unavailable;Sub-Registrar absent;document refused without reason;registration fee paid but document pending;online registration issue;document scanning delay;document indexing delay;document release delayed;document not returned;manual verification pending;encumbrance check pending;appeal against delay;urgent registration required;registration after court order;NRI document registration;power failure during registration;document execution delayed,Sub-Registrar,District Registrar,Deputy Inspector General of Registration,Inspector General of Registration,document_number;registration_year;sub_registrar_office
document_registration_refusal,Sub-Registrar refused registration;registration refused without reason;sale deed refused;settlement deed refused;gift deed refused;partition deed refused;release deed refused;power of attorney refused;document impounded wrongly;stamp duty dispute;guideline value dispute;identity proof objection;patta mismatch;survey number mismatch;encumbrance objection;title dispute cited wrongly;court order ignored;registration despite High Court order refused;document returned without registration;illegal refusal;arbitrary objection;registration appeal;hearing requested;document accepted then rejected;technical issue shown as reason;biometric mismatch;thumb verification failed;online slot expired;refusal check slip challenged;representation against refusal,Sub-Registrar,District Registrar,Deputy Inspector General of Registration,Inspector General of Registration,document_number;registration_year;sub_registrar_office
encumbrance_certificate_delay,EC not issued;encumbrance certificate pending;online EC unavailable;manual EC delayed;wrong survey number in EC;missing transaction in EC;incorrect owner reflected;EC urgently required for bank loan;EC for court case delayed;EC application pending;search report incomplete;EC not updated after registration;digital EC mismatch;application rejected without reason;fees paid but EC not issued;EC for specific period delayed;sub-registrar not processing EC;server issue;old records not digitized;appeal against delay;EC required for property sale;bank insisting on EC;duplicate EC request;EC not downloadable;verification pending;record indexing pending;document not linked to EC;EC showing incorrect entries;EC correction pending;priority EC request,Sub-Registrar,District Registrar,Deputy Inspector General of Registration,Inspector General of Registration,application_number;survey_number;sub_registrar_office
certified_copy_registration,certified copy of registered document delayed;certified copy not issued;sale deed certified copy;gift deed certified copy;settlement deed certified copy;partition deed certified copy;release deed certified copy;power of attorney certified copy;copy application pending;fees paid but copy not issued;document not traceable;scanned copy unavailable;old document copy delayed;digital copy unavailable;manual records missing;copy urgently required for court;copy required for bank loan;copy application rejected;certified copy with missing pages;poor quality scanned copy;copy not authenticated;online copy unavailable;appeal against delay;record room delay;duplicate certified copy;copy dispatch delayed;sub registrar not processing;document indexing pending;certified copy for legal heir case;certified copy verification pending,Sub-Registrar,District Registrar,Deputy Inspector General of Registration,Inspector General of Registration,document_number;registration_year;sub_registrar_office
guideline_value_dispute,guideline value too high;incorrect guideline value;property undervalued;property overvalued;guideline value revision request;market value lower than guideline;wrong classification;agricultural land treated as residential;residential treated as commercial;industrial classification dispute;appeal against guideline value;stamp duty calculated wrongly;registration affected due to guideline value;layout not considered;road access ignored;government order not implemented;survey number mismatch;sub registrar refusing registration;valuation objection;valuation review pending;market value evidence submitted;collector guideline revision sought;guideline not updated;zonal value error;representation pending;valuation after court order;public objection;EC affected by valuation;property tax linkage issue;valuation correction request,District Registrar,Deputy Inspector General of Registration,Inspector General of Registration,District Collector,survey_number;village;taluk;sub_registrar_office
stamp_duty_refund,stamp duty refund pending;excess stamp duty paid;duplicate payment;registration cancelled;document not registered;refund after court order;refund after cancellation;e-stamp refund;challan refund;incorrect stamp duty collected;refund application pending;refund rejected;bank account not credited;refund delayed for months;refund after document refusal;refund due to excess guideline value;refund after duplicate registration;refund for failed online payment;stamp vendor issue;refund for spoiled stamp;refund due to transaction failure;refund verification pending;treasury delay;refund after appeal;refund due to wrong classification;registration fee refund;refund representation;document withdrawn before registration;refund calculation error;refund not processed,District Registrar,Deputy Inspector General of Registration,Inspector General of Registration,District Treasury Officer,document_number;registration_year;sub_registrar_office;amount_paid
partition_deed_issue,partition deed registration delayed;family partition dispute;partition deed refused;incorrect share allocation;co-owner dispute;legal heir disagreement;survey number mismatch;boundary mismatch;stamp duty dispute;registration kept pending;partition after court decree;partition deed correction;missing legal heirs;forged signatures;fraudulent partition deed;minor's share ignored;partition of ancestral property;joint family property dispute;document execution issue;partition mutation pending;patta not transferred after partition;encumbrance issue;duplicate partition deed;partition deed cancelled;registration appeal;sub registrar objection;property measurement dispute;revenue records mismatch;partition deed not released;family settlement disagreement,Sub-Registrar,District Registrar,Deputy Inspector General of Registration,Inspector General of Registration,document_number;registration_year;sub_registrar_office;survey_number
settlement_deed_issue,settlement deed registration delayed;fraudulent settlement deed;settlement deed cancelled;forged signature;elderly person coerced into settlement;mental incapacity during execution;settlement without consent;conditional settlement dispute;revocation of settlement;life interest ignored;settlement deed refused;stamp duty issue;family settlement dispute;settlement by legal heir challenged;property already sold;duplicate settlement deed;registration pending;settlement after court order;settlement mutation pending;patta not transferred;settlement executed using false legal heir certificate;settlement by impersonation;beneficiary dispute;document correction;survey mismatch;encumbrance issue;sub registrar objection;document withheld;settlement deed appeal;property ownership dispute,Sub-Registrar,District Registrar,Deputy Inspector General of Registration,Inspector General of Registration,document_number;registration_year;sub_registrar_office;survey_number
gift_deed_issue,gift deed registration delayed;gift deed refused;fraudulent gift deed;gift under coercion;gift by impersonation;forged signature;gift by mentally incapacitated person;revocation dispute;conditional gift dispute;stamp duty dispute;family objection;gift to minor;gift accepted but not registered;survey mismatch;encumbrance issue;gift after court order;property already transferred;duplicate gift deed;gift deed correction;patta mutation pending;gift executed using false legal heir certificate;gift executed without owner's consent;beneficiary dispute;sub registrar objection;document release delayed;registration appeal;property ownership dispute;document verification pending;gift deed cancellation;gift deed rectification,Sub-Registrar,District Registrar,Deputy Inspector General of Registration,Inspector General of Registration,document_number;registration_year;sub_registrar_office;survey_number
power_of_attorney_issue,power of attorney registration delayed;GPA registration refused;special power of attorney issue;forged power of attorney;revoked power of attorney still used;POA executed by impersonation;POA after death of principal;fraudulent property sale using POA;mental incapacity during POA execution;POA cancellation;POA not accepted;authentication issue;NRI power of attorney;embassy attestation issue;sub registrar objection;stamp duty issue;property registration through POA delayed;duplicate POA;POA correction;POA lost;certified copy required;encumbrance issue;survey mismatch;property already transferred;bank refusing POA;court decree ignored;document withheld;registration appeal;POA misuse;illegal property transfer through POA,Sub-Registrar,District Registrar,Deputy Inspector General of Registration,Inspector General of Registration,document_number;registration_year;sub_registrar_office
crop_damage_compensation,crop damaged by flood;crop damaged by cyclone;crop damaged by drought;crop damaged by heavy rain;crop damaged by pest attack;crop damaged by wild animals;crop damaged by fire;crop compensation pending;survey not conducted;crop assessment delayed;wrong crop assessment;farmer omitted from beneficiary list;compensation not credited;bank account issue;e-crop registration issue;insurance and compensation overlap;banana crop damage;paddy crop damage;sugarcane crop damage;groundnut crop damage;horticulture crop loss;standing crop destroyed;crop loss due to canal breach;electricity failure affecting irrigation;representation pending;appeal against assessment;re-survey requested;natural disaster relief delayed;agriculture department not responding;urgent farmer relief,Assistant Director of Agriculture,Joint Director of Agriculture,District Collector,Director of Agriculture,crop_name;season;extent;village;taluk;damage_date
crop_insurance_claim,crop insurance claim pending;PMFBY claim not settled;insurance survey delayed;crop loss not assessed;claim rejected wrongly;farmer name missing;premium deducted but policy inactive;bank failed to enroll farmer;e-crop mismatch;Aadhaar mismatch;survey number mismatch;insured crop differs;partial crop loss ignored;total crop loss ignored;claim amount too low;claim not credited;appeal against rejection;insurance company not responding;village omitted from notified area;weather data dispute;loss due to excess rain;loss due to drought;loss due to pest attack;claim after cyclone;claim after flood;joint patta issue;tenant farmer claim;claim verification pending;reassessment requested;insurance grievance,Assistant Director of Agriculture,Joint Director of Agriculture,District Collector,Agriculture Insurance Company / Concerned Insurer,policy_number;crop_name;season;extent;village;taluk
fertilizer_shortage,fertilizer not available;urea shortage;DAP shortage;potash shortage;complex fertilizer unavailable;cooperative society out of stock;private dealer hoarding fertilizer;fertilizer black marketing;fertilizer sold above MRP;insufficient fertilizer allocation;farmer denied fertilizer;fertilizer stock diverted;fertilizer not supplied during sowing season;token issued but fertilizer not given;online fertilizer booking issue;wrong fertilizer supplied;subsidized fertilizer unavailable;fertilizer quality issue;duplicate fertilizer suspected;fake fertilizer sold;fertilizer subsidy not reflected;dealer demanding additional products;fertilizer distribution delayed;fertilizer not supplied despite payment;farmer registration issue;small farmers denied fertilizer;fertilizer quantity reduced;district allocation insufficient;fertilizer inspection requested;agriculture department not responding,Assistant Director of Agriculture,Joint Director of Agriculture,District Collector,Director of Agriculture,village;taluk;society_name
seed_supply_issue,certified seeds unavailable;paddy seeds unavailable;groundnut seeds unavailable;pulses seeds unavailable;millet seeds unavailable;horticulture seeds unavailable;seed distribution delayed;farmer denied seeds;seed stock exhausted;subsidized seeds unavailable;wrong variety supplied;poor germination;expired seeds distributed;fake seeds supplied;duplicate seeds suspected;seed quality complaint;seed replacement requested;cooperative society not supplying seeds;private dealer overcharging;seed booking issue;online registration problem;seed subsidy not provided;small farmers omitted;seed allotment delayed;farmer registration mismatch;seed package damaged;insufficient quantity supplied;seed testing requested;district stock shortage;agriculture office not responding,Assistant Director of Agriculture,Joint Director of Agriculture,District Collector,Director of Agriculture,village;taluk;crop_name
farm_subsidy,agriculture subsidy pending;farm mechanization subsidy delayed;tractor subsidy pending;power tiller subsidy pending;implement subsidy delayed;beneficiary omitted;application approved but subsidy not released;subsidy not credited;Aadhaar mismatch;bank account issue;farmer registration issue;small farmer category not recognized;SC/ST subsidy not granted;women farmer subsidy delayed;subsidy application rejected wrongly;subsidy verification pending;inspection not conducted;online portal issue;equipment purchased but subsidy not received;invoice uploaded but no action;beneficiary list error;subsidy amount reduced;duplicate application issue;appeal against rejection;district agriculture office delay;subsidy target exhausted;subsidy after court order;subsidy file pending;agriculture officer not responding;representation for subsidy release,Assistant Director of Agriculture,Joint Director of Agriculture,District Collector,Director of Agriculture,application_number;crop_name;season;extent;village;taluk
micro_irrigation_subsidy,micro irrigation subsidy pending;drip system subsidy delayed;sprinkler subsidy delayed;application approved but subsidy not released;installation completed but payment pending;beneficiary omitted;inspection not conducted;farmer registration mismatch;Aadhaar mismatch;bank account issue;subsidy rejected wrongly;vendor not empanelled;invoice upload issue;online portal error;small farmer subsidy denied;SC/ST subsidy delayed;women farmer subsidy delayed;subsidy amount reduced;inspection delayed;drip materials supplied late;sprinkler quality issue;duplicate application issue;appeal against rejection;scheme guidelines violated;subsidy not credited;district horticulture office delay;target exhausted;representation pending;payment file pending;request for subsidy release,Assistant Director of Horticulture,Deputy Director of Horticulture,District Collector,Director of Horticulture and Plantation Crops,application_number;extent;village;taluk
horticulture_subsidy,horticulture subsidy pending;fruit sapling subsidy delayed;vegetable cultivation subsidy pending;polyhouse subsidy delayed;shade net subsidy delayed;orchard development subsidy pending;beneficiary omitted;application approved but subsidy not released;subsidy not credited;farmer registration issue;bank account mismatch;Aadhaar mismatch;inspection pending;subsidy rejected wrongly;online application issue;small farmer subsidy denied;SC/ST subsidy delayed;women farmer subsidy delayed;invoice uploaded but no action;subsidy amount reduced;duplicate application issue;appeal against rejection;horticulture officer not responding;target exhausted;district office delay;scheme benefit denied;planting materials not supplied;representation pending;payment file pending;request for subsidy release,Assistant Director of Horticulture,Deputy Director of Horticulture,District Collector,Director of Horticulture and Plantation Crops,application_number;crop_name;village;taluk
drip_irrigation,drip irrigation installation delayed;drip irrigation subsidy pending;drip materials not supplied;drip system defective;poor quality pipes supplied;installation incomplete;vendor not responding;inspection pending;payment pending after installation;drip system leakage;filter not installed;fertigation unit not installed;wrong layout design;insufficient materials supplied;subsidy not credited;application pending;beneficiary omitted;Aadhaar mismatch;bank account issue;farmer registration mismatch;duplicate application issue;drip damaged during installation;maintenance support unavailable;warranty not honoured;subsidy rejected wrongly;appeal against rejection;district horticulture office delay;target exhausted;representation pending;request for urgent installation,Assistant Director of Horticulture,Deputy Director of Horticulture,District Collector,Director of Horticulture and Plantation Crops,application_number;extent;village;taluk
animal_husbandry_service,artificial insemination not available;cattle treatment unavailable;livestock disease outbreak;veterinary officer absent;animal health camp not conducted;emergency animal treatment delayed;goat disease;sheep disease;poultry disease;cow disease;buffalo disease;vaccination unavailable;medicine unavailable;fodder support required;livestock insurance issue;ear tagging not done;breed improvement service unavailable;infertility treatment unavailable;milk production assistance needed;animal birth certificate issue;animal welfare complaint;disease testing unavailable;animal ambulance unavailable;veterinary staff shortage;field visit not conducted;government scheme benefit denied;subsidy delayed;complaint ignored;representation pending;request for veterinary intervention,Assistant Director of Animal Husbandry,Joint Director of Animal Husbandry,District Collector,Director of Animal Husbandry,animal_type;village;taluk
government_veterinary_hospital,veterinary hospital closed;veterinary doctor absent;medicine unavailable;animal treatment denied;hospital timings not followed;emergency treatment unavailable;surgery unavailable;vaccination unavailable;staff shortage;poor sanitation;diagnostic facilities unavailable;laboratory unavailable;animal admitted without care;hospital building damaged;equipment not working;hospital overcrowded;doctor misconduct;bribe demanded;records not maintained;ambulance unavailable;medicine stock exhausted;government scheme not implemented;livestock owners not attended;complaint ignored;hospital cleanliness issue;animal death due to negligence;delay in treatment;new veterinary hospital requested;inspection requested;service deficiency complaint,Veterinary Assistant Surgeon,Assistant Director of Animal Husbandry,Joint Director of Animal Husbandry,District Collector,hospital_name;animal_type;village;taluk
livestock_vaccination,vaccination not conducted;FMD vaccination unavailable;brucellosis vaccination unavailable;PPR vaccination unavailable;rabies vaccination unavailable;mass vaccination camp not conducted;vaccination delayed;vaccination stock unavailable;vaccination team not visiting village;animal disease outbreak due to no vaccination;cattle vaccination pending;goat vaccination pending;sheep vaccination pending;dog vaccination pending;poultry vaccination unavailable;ear tagging not done;vaccination records not issued;vaccination certificate required;vaccination campaign ignored;government vaccination scheme not implemented;emergency vaccination needed;veterinary staff shortage;cold chain failure suspected;medicine unavailable;complaint ignored;representation pending;field officer absent;animal death after no vaccination;request for village vaccination camp;urgent vaccination request,Veterinary Assistant Surgeon,Assistant Director of Animal Husbandry,Joint Director of Animal Husbandry,District Collector,animal_type;village;taluk
animal_cruelty,animal beating;animal torture;animal starvation;illegal animal killing;animal abandonment;pet abuse;cattle abuse;dog abuse;horse abuse;working animal cruelty;illegal transport of animals;overloading animals;injured animal neglected;animal poisoning;illegal slaughter;animal fighting;animal chained continuously;lack of food and water;abuse by owner;public cruelty incident;social media evidence available;animal rescue delayed;SPCA not responding;police not taking action;wildlife cruelty complaint;injured stray animal;illegal breeding facility;animal kept in unsafe conditions;urgent rescue request;prevention of cruelty complaint,Inspector of Police,Animal Husbandry Assistant Director,District Collector,Society for Prevention of Cruelty to Animals (SPCA),animal_type;village;taluk
fishermen_welfare,fishermen welfare assistance pending;welfare board membership delayed;accidental death assistance pending;education assistance delayed;marriage assistance not received;old age pension for fisherman delayed;identity card not issued;renewal pending;insurance claim delayed;relief assistance pending;cyclone relief not received;fishing ban assistance pending;financial aid rejected;bank account mismatch;Aadhaar mismatch;beneficiary omitted;application pending;verification delayed;subsidy not credited;boat damaged compensation pending;net damaged compensation;medical assistance delayed;housing assistance pending;scholarship not received;widow assistance delayed;duplicate membership issue;online application error;appeal against rejection;representation pending;urgent welfare assistance,Assistant Director of Fisheries,Joint Director of Fisheries,District Collector,Commissioner of Fisheries,fisherman_id;village;taluk
fishing_ban_relief,fishing ban relief not credited;seasonal relief delayed;beneficiary omitted;bank account mismatch;Aadhaar mismatch;relief amount reduced;application pending;verification delayed;boat owner relief denied;crew member relief denied;marine fisherman omitted;inland fisherman omitted;duplicate beneficiary issue;payment failed;online application issue;appeal against rejection;relief after cyclone delayed;government order not implemented;district office delay;representation pending;financial hardship during ban;livelihood assistance delayed;relief not sanctioned;beneficiary verification pending;wrong beneficiary list;fishermen cooperative issue;relief installment pending;payment file pending;urgent relief request;collector intervention requested,Assistant Director of Fisheries,Joint Director of Fisheries,District Collector,Commissioner of Fisheries,fisherman_id;village;taluk
diesel_subsidy_fishermen,diesel subsidy not credited;diesel subsidy delayed;boat owner subsidy pending;mechanized boat subsidy;fuel purchase not recognized;beneficiary omitted;application pending;bank account mismatch;Aadhaar mismatch;subsidy amount reduced;verification delayed;invoice upload issue;online portal issue;duplicate application;appeal against rejection;cooperative society issue;diesel coupon not issued;subsidy file pending;district office delay;payment not released;fishing season subsidy;fuel bill mismatch;boat registration issue;engine registration mismatch;subsidy target exhausted;representation pending;urgent subsidy request;government order not implemented;beneficiary verification issue;financial hardship,Assistant Director of Fisheries,Joint Director of Fisheries,District Collector,Commissioner of Fisheries,boat_registration_number;village;taluk
labour_wages,salary not paid;wages withheld;delayed wages;partial wages paid;contract wages unpaid;daily wages unpaid;overtime wages not paid;minimum wages not paid;illegal deductions;wages below government rate;final settlement pending;salary withheld after resignation;cash wages denied;bank transfer failed;attendance manipulated;fake wage register;contractor absconded;labour exploitation;forced unpaid work;wage discrimination;payment delayed for months;labour complaint ignored;settlement refused;employer harassment;non-payment after project completion;seasonal worker unpaid;migrant worker wages;representation for wage recovery;conciliation pending;labour officer intervention,Assistant Commissioner of Labour,Joint Commissioner of Labour,Commissioner of Labour,District Collector,employer_name;work_place;work_period
minimum_wages,minimum wages not paid;wages below notified rate;daily wage violation;contract worker underpaid;security guard underpaid;housekeeping staff underpaid;construction worker underpaid;factory worker underpaid;shop employee underpaid;hotel employee underpaid;overtime unpaid;holiday wages denied;wage register manipulated;attendance falsified;cash payment without records;labour inspection requested;minimum wage notification ignored;piece-rate wages below minimum;women workers underpaid;migrant workers exploited;apprentice underpaid;wage discrimination;employer refusing revision;labour officer not acting;conciliation pending;claim under Minimum Wages Act;representation pending;recovery certificate requested;multiple workers affected;urgent intervention,Assistant Commissioner of Labour,Joint Commissioner of Labour,Commissioner of Labour,District Collector,employer_name;work_place;work_period
bonus_gratuity,gratuity not paid;bonus not paid;bonus calculated wrongly;gratuity delayed;retirement benefits pending;resignation gratuity withheld;death gratuity delayed;illegal deduction from gratuity;gratuity rejected;bonus denied despite eligibility;productivity bonus dispute;festival bonus dispute;service records incorrect;years of service disputed;interest on delayed gratuity;gratuity application pending;labour authority delay;employer closed establishment;company insolvent;settlement pending;conciliation failed;labour court award not implemented;representation pending;claim under Payment of Gratuity Act;bonus calculation dispute;gratuity nomination issue;legal heir gratuity claim;bank details mismatch;recovery certificate requested;urgent payment request,Assistant Commissioner of Labour,Joint Commissioner of Labour,Commissioner of Labour,District Collector,employer_name;work_place;work_period
shops_establishment,shop not registered;registration renewal pending;shop licence delayed;working hours violation;weekly holiday denied;employee register not maintained;women employed beyond permitted hours;child employed in shop;leave not granted;salary register absent;inspection requested;licence cancelled wrongly;trade licence mismatch;online registration issue;renewal application pending;late fee dispute;inspection harassment;employee welfare violation;holiday wages denied;shop closure notice challenged;appeal against cancellation;name change pending;address correction;ownership transfer pending;compliance certificate delayed;record inspection pending;representation against penalty;shop sealing threatened;registration certificate lost;urgent registration request,Inspector of Labour,Assistant Commissioner of Labour,Joint Commissioner of Labour,Commissioner of Labour,establishment_name;street_name;village
contract_labour,contract labour licence pending;principal employer registration delayed;contractor licence issue;contract workers unpaid;contract labour welfare violation;canteen facility unavailable;drinking water unavailable;toilet unavailable;safety equipment not provided;PF not deposited;ESI not provided;identity cards not issued;contract renewed illegally;illegal contract termination;equal wages denied;muster roll manipulated;attendance dispute;working hours exceeded;labour accommodation poor;migrant worker exploitation;contractor absconded;licence renewal pending;inspection requested;labour law violation;representation pending;conciliation requested;licence cancelled wrongly;principal employer not responsible;worker benefits denied;urgent labour intervention,Assistant Commissioner of Labour,Joint Commissioner of Labour,Commissioner of Labour,District Collector,employer_name;work_place;work_period
